issue #,html_url,Bug Classification Note,LEVEL 1: Issue Title and Body,LEVEL 2: Issue Discussion,LEVEL 3: PR Discussion,LEVEL 4: Commit/Code Change,LEVEL 5: Release Note,Regression Classification Note,"Test Available? (Yes, No, NA)",,,
31679,https://github.com/mastodon/mastodon/issues/31679,"This is a bug because the page layout is too wide for the screen size, which causes the message window to get cut off.",NA,"In the discussion, a contributor noted that PR #28119 introduced the regression by changing the column spacing, which increased the layout's required width.","In the linked pull request discussion for PR #31888 and PR #31889, A contributor explains that a previous change (#28119) introduced the layout regression. Also, points out that switching the middle column's padding to a flex gap property accidentally expanded its width from ""600px inclusive padding"" to ""600px excluding padding"". Both pull requests explicitly mention this spacing change as the root cause of the screen overflow bug.","The file changes confirm an intentional regression fix. The code updates both the SCSS layout breakpoint and the corresponding JavaScript media query upward by exactly 32 pixels, directly addressing the overflow bug caused by the new column spacing.",https://github.com/mastodon/mastodon/releases/tag/v4.3.0,"This issue classified as a regression because a previous PR #28119 introduced a CSS change that unexpectedly expanded the layout width, breaking the UI on smaller screens. This is confirmed by PR #31889, which explicitly fixed the overflow by bumping both the SCSS breakpoints and JavaScript media queries by the exact 32px difference.",No,,,
32061,https://github.com/mastodon/mastodon/issues/32061,This issue is considered a bug and confirmed by one of the maintainers that the issue is already confirmed. This is a known but very minor performance issue with Mastodon's codebase,This issue is considered a regression as noted that there is duplicate indexes on the author server and confirmed by the retainer that it is a performance issue,The issue discussion showed that this is a regression and a fix will eventually be made,NA,The commit is inline with the issue raised to remove the duplicate indexes on the server,github.com/mastodon/mastodon/releases/tag/v4.4.0,One of the maintainer of Mastodon acknowledged the issue and noted that a fix will made to resolve the issue,No,,,
32595,https://github.com/mastodon/mastodon/issues/32595,"This issue is considered a bug and confirmed by one of the maintainers that new posts from users of a server with rejected media does not show as ""preview not available"" anymore. There's no indication that the post had media in the first place and the only way to find out is if you go to the original post.","One of the maintainers of Mastodon confirmed that this issue is a regression and noted that the media attachment definitely still exists, and the media attachment type is unknown, which did previously trigger the correct UI",The issue discussion shown a diff between 2 separate versions one that used to have the 'else' statement and where it was removed.,"Maintainer, with name ThisIsMissEm, noted that essentially this code was reworked at some point and the previous else branch that caught the 'unknown' media type was removed.

This is an active regression between v4.3.0-beta.2 and v4.3.0 / v4.3.1, where media from server's marked as ""reject_media"" wouldn't be displayed at all in any way.","The commit is inline with the issue raised to fix ""unknown"" media attachment type rendering",https://github.com/mastodon/mastodon/releases/tag/v4.3.2,"This is an active regression between v4.3.0-beta.2 and v4.3.0 / v4.3.1, where media from server's marked as ""reject_media"" wouldn't be displayed at all in any way.",No,,,
32355,https://github.com/mastodon/mastodon/issues/32355,"This issue is considered a bug as noted by one of the maintainer that most like the streaming service didn't start because it didn't find the node executable. The author also mentioned that since 4.3.0, the column with tags doesn't update anymore","This issue is considered a regression as noted by the author that after upgrading to 4.3.0, they had to manually refresh the page for the column (with tags) to get updated.",The issue description highlight the possibility of the regression that most likely the streaming service didn't start because it didn't find the node executable,NA,NA,NA,NA,NA,,,
31611,https://github.com/mastodon/mastodon/issues/31611,The issue is considered a bug and noted in the screenshot that and additional (') is inadvertently added in the docker-compose file,This issue is considered a regression as the additional symbol is causing issues when the docker-compose file is being triggered,The issue has a screenshot of the cause of the error,NA,NA,https://github.com/mastodon/mastodon/releases/tag/v4.3.0,Typo in the docker compose yaml file is resulting in the regression encountered by the issue creator,No,,,
32371,https://github.com/mastodon/mastodon/issues/32371,"This issue is considered a bug as the author noted that in the previous version, the ""plain"" interface used to show remaining mute duration as well as presenting the option to unmute. Now both the deck and plain view neither show them not are the durations or end date are shown on the individual profiles","The author noted that in the previous version the ""plain"" interface used to show remaining mute duration as well as presenting the option to unmute which is not the case in the v4.3.0 version",The issue description highlighted the regression that no distinction is made between the users muted for a limited time and those muted indefinitely,The linked PR noted that the PR changes it back so that the redux-stored accounts contain mute_expires_at.,"The related changes in the commit is in line with the issue raised about ""Fix mute duration not being shown in list of muted accounts in web UI""",https://github.com/mastodon/mastodon/releases/tag/v4.3.1,"The author noted that in the previous version the ""plain"" interface used to show remaining mute duration as well as presenting the option to unmute which is not the case in the v4.3.0 version",No,,,
32731,https://github.com/mastodon/mastodon/issues/32731,"This issue is considered a bug because the Search for statuses, with a max_id or min_id, is returning a 422 invalid date noted by the author. The expected behavior is that the response should contain statuses with IDs below the given max_id or above the min_id",This issue is considered a regression and confirmed by one of the maintainers that the issue is most likely caused by a recent change in PR #31526 causing  the newly introduced regexp to reject datetimes that are not only dates.,The evidence was confirmed by on one of the maintainers that the issue was caused by a recent change in PR #31526.,NA,The changed files in the commit is related to the issue about the invalid date searches returning error when passing the min_id or/and max_id,https://github.com/mastodon/mastodon/releases/tag/v4.3.2,A recent change in PR #31526 introduced the regression causing the error 422 Invalid date while searching for any word and passing the min_id or max_id,Yes,,,
32377,https://github.com/mastodon/mastodon/issues/32377,"This is considered a bug as referenced by one of the maintainers that an issue has also been created for this same experience. The author noted that the ""More"" menu doesn't fit in the view and no way to scroll","This issue is considered a regression and one of the maintainers noted Mastodon is using Popprt with the 'flip' modifier which doesn't seem to have an option to choose the ""the least bad placement""",The referenced similar issue provided additional context that the issue may be result from the external package Mastodon is using,NA,NA,NA,NA,No,,,
34080,https://github.com/mastodon/mastodon/issues/34080,This issue is considered a bug and confirmed by the maintainers of Mastodon that a recent change in PR #28747 added explicit check on port being an int,"This issue is considered a regression and confirmed by one of the maintainers that there is an explicit change added in PR to ensure port(s) are int. This led to the regression causing port that are empty strings result in error ""Invalid port specified in DATABASE_URL environment variable""",The regression was confirmed by one of the maintainers about the explicit check for port type to be an int.,NA,The changed file in the commit is in-line with the issue raised when the port specified is an empty string,https://github.com/mastodon/mastodon/releases/tag/v4.3.7,An additional check ensuring Url port is an int led to the regression and confirmed by one of the maintainers of the repo,No,,,
32408,https://github.com/mastodon/mastodon/issues/32408,"This issue is considered a bug and confirmed by the maintainers of Mastodon that a recent change was introduced to sanitize remote embed code, allowing a handful of HTML tags to pass through.","One of the maintainers confirmed the regression by noting that before version 4.3.0, Mastodon embeds worked with an iframe amd some auxillary javascript to resize the embed but now they rely on a blockquote and some sanitization that strips everything else",NA,NA,NA,NA,NA,No,,,
